mag_x,mag_y,mag_z,acc_x,acc_y,acc_z
-1621,1022,1268,2066,6875,-13281
-1621,1022,1268,1996,6899,-13217
-1623,1048,1272,1912,6748,-13086
-1604,1127,1257,2088,6105,-13354
-1604,1127,1257,2017,5797,-13446
-1602,1259,1225,1876,5155,-14214
-1581,1424,1133,1935,4238,-14237
-1581,1424,1133,1823,3657,-14432
-1591,1587,1100,1988,2555,-14423
-1585,1747,1001,1978,3119,-14549
-1585,1747,1001,2193,1738,-14653
-1581,1899,970,1840,3196,-14645
-1568,2037,828,1099,1323,-14615
-1568,2037,828,2433,-2112,-12258
-1563,2099,749,1647,493,-16157
-1557,2135,765,1048,-125,-14625
-1557,2135,765,1551,-830,-14880
-1581,2189,727,1508,-742,-14400
-1589,2234,684,1313,-1076,-14632
-1589,2234,684,1655,-1257,-14434
-1588,2302,633,1819,-1897,-14936
-1598,2358,570,1686,-2045,-14505
-1598,2358,570,1504,-2606,-14302
-1626,2416,500,1370,-2898,-14532
-1640,2469,439,1508,-2948,-14263
-1640,2469,439,1315,-3471,-14361
-1655,2523,381,1279,-3564,-14308
-1657,2569,275,1548,-3669,-14140
-1657,2569,275,1820,-4225,-14199
-1664,2597,289,1658,-4815,-14014
-1664,2624,255,1473,-4547,-13737
-1664,2624,255,1352,-4607,-13950
-1658,2634,231,1376,-4855,-14290
-1651,2622,252,1610,-4395,-13981
-1651,2622,252,1479,-3620,-13969
-1672,2532,365,1457,-2738,-14301
-1685,2394,506,1595,-2072,-14442
-1685,2394,506,1738,-1528,-14222
-1693,2265,636,1524,-1401,-14553
-1708,2171,722,1687,-1071,-15139
-1708,2171,722,1489,93,-15176
-1740,2079,789,1827,1224,-13747
-1742,1995,836,1780,1068,-14662
-1742,1995,836,1851,894,-14749
-1720,1943,859,1584,1490,-14843
-1737,1889,898,1801,2106,-14641
-1737,1889,898,1741,2120,-14276
-1742,1866,905,1511,841,-15103
-1744,1843,931,2449,2618,-14106
-1744,1843,931,2033,2175,-15466
-1755,1789,960,1551,3532,-14224
-1780,1660,1005,1252,2931,-14591
-1780,1660,1005,488,3692,-14325
-1812,1456,1104,917,4782,-13644
-1852,1239,1177,1788,5794,-13876
-1852,1239,1177,1524,5917,-13729
-1849,1020,1236,886,7065,-13065
-1839,816,1280,242,7651,-13065
-1839,816,1280,757,8717,-12666
-1836,642,1290,326,8943,-12192
-1822,490,1285,674,9665,-11805
-1822,490,1285,-1511,10154,-12317
-1791,325,1288,176,10073,-11225
-1789,254,1308,534,9921,-10564
-1789,254,1308,96,11148,-10456
-1785,188,1314,13,10292,-10379
-1785,209,1305,-168,10836,-10505
-1785,209,1305,344,10459,-10881
-1786,283,1296,756,9929,-11031
-1767,512,1314,9,8308,-13263
-1767,512,1314,24,7985,-12736
-1756,746,1298,257,7964,-12970
-1757,996,1261,804,6516,-12749
-1757,996,1261,489,4176,-14374
-1717,1271,1196,520,4093,-14201
-1725,1484,1110,443,3728,-15283
-1725,1484,1110,619,3493,-14560
-1722,1695,1010,1063,1189,-14563
-1714,1931,883,1434,-203,-15196
-1714,1931,883,1122,237,-14902
-1713,2100,766,1447,284,-14853
-1695,2269,640,2010,-935,-13784
-1695,2269,640,1796,-2210,-13856
-1645,2421,498,1404,-1803,-12950
-1618,2491,435,282,-3221,-15296
-1618,2491,435,1138,-3454,-15265
-1591,2481,424,1686,-2537,-14115
-1581,2490,445,1596,-3224,-14470
-1581,2490,445,1770,-3890,-13640
-1606,2518,396,1181,-913,-13130
-1595,2529,366,1915,-4155,-14029
-1595,2529,366,945,-2792,-13529
-1584,2602,298,1440,-6073,-15279
-1517,2746,135,1837,-5775,-12585
-1517,2746,135,1532,-7341,-13370
-1480,2843,-34,1352,-6947,-13033
-1455,2901,-135,1337,-7078,-12557
-1455,2901,-135,1035,-8227,-13027
-1434,2956,-260,1051,-8764,-11918
-1435,3006,-347,1008,-8329,-12069
-1435,3006,-347,605,-8769,-11739
-1428,3046,-515,870,-9369,-11067
-1405,3095,-657,368,-10327,-10743
-1405,3095,-657,325,-11607,-10523
-1396,3111,-800,563,-11075,-9654
-1378,3127,-912,449,-11491,-9816
-1378,3127,-912,444,-11680,-9879
-1370,3126,-965,578,-11781,-9354
-1361,3139,-1047,306,-12167,-8962
-1361,3139,-1047,259,-12445,-8656
-1360,3146,-1102,428,-12403,-9208
-1383,3138,-1052,750,-12175,-9326
-1383,3138,-1052,567,-11476,-9700
-1403,3130,-936,708,-11182,-10301
-1438,3103,-752,564,-10116,-10490
-1438,3103,-752,823,-9852,-11082
-1479,3053,-560,1177,-9538,-12344
-1521,2980,-374,1044,-8202,-11504
-1521,2980,-374,1103,-7888,-12656
-1548,2900,-158,1483,-6387,-13399
-1580,2758,68,1410,-5593,-14081
-1580,2758,237,1766,-5134,-13243
-1591,2648,237,1160,-3612,-14227
-1601,2497,418,1009,-2311,-13865
-1601,2330,586,1099,-1748,-14128
-1610,2330,586,964,-1655,-14987
-1602,2197,709,1044,-1184,-15321
-1602,2060,804,1042,117,-14873
-1630,2060,804,991,1452,-14441
-1638,1935,869,651,1619,-14412
-1648,1827,948,510,1794,-14976
-1648,1827,948,790,2419,-14490
-1636,1742,1007,748,2976,-14112
-1642,1660,1046,566,2784,-13866
-1642,1660,1046,-483,4480,-15478
-1633,1602,1070,698,2420,-16177
-1697,1588,1072,2271,3114,-13643
-1697,1588,1072,1933,3632,-14022
-1709,1573,1073,420,4673,-14641
-1713,1580,1072,628,2918,-14853
-1713,1580,1072,252,4727,-13091
-1737,1543,1081,1216,5436,-13292
-1730,1449,1127,1092,3615,-14638
-1730,1449,1127,1411,5259,-14295
-1777,1270,1176,1075,5782,-13492
-1776,1093,1223,371,5930,-13258
-1776,1093,1223,263,6605,-13334
-1785,917,1265,-329,7495,-13491
-1744,764,1309,-60,8392,-12429
-1744,764,1309,-28,8028,-12491
-1730,630,1311,-204,8805,-12423
-1732,516,1332,395,8279,-11846
-1732,516,1332,-540,9915,-11949
-1727,400,1324,-269,10696,-11427
-1734,367,1320,46,8314,-12415
-1734,367,1320,-879,9506,-10399
-1735,363,1320,-323,10313,-11474
-1735,428,1322,-335,10299,-11557
-1735,428,1322,-312,9296,-11790
-1731,584,1317,-655,7937,-12382
-1736,762,1305,-428,7659,-13164
-1736,762,1305,190,7174,-13303
-1740,954,1262,420,6080,-13424
-1739,1168,1217,-113,6110,-13786
-1739,1168,1217,199,5151,-14313
-1753,1368,1143,857,4598,-14338
-1763,1578,1060,812,2942,-14184
-1763,1578,1060,469,2912,-14542
-1762,1729,993,729,1919,-14328
-1747,1872,916,1138,1211,-14632
-1747,1872,916,1227,151,-14976
-1763,2015,816,1191,940,-14511
-1754,2137,723,841,-46,-14809
-1754,2137,723,986,-1568,-13594
-1732,2259,626,1084,-1413,-14084
-1684,2322,576,1833,-2399,-12864
-1684,2322,576,1476,-1168,-15989
-1625,2347,576,278,-916,-15070
-1612,2332,595,455,-1116,-14784
-1612,2332,595,480,-2396,-14721
-1600,2360,571,420,-2706,-14125
-1588,2374,555,1320,-2508,-15033
-1588,2374,555,1266,-1051,-14034
-1564,2356,582,1244,-1964,-14702
-1531,2377,562,824,-2460,-14290
-1531,2377,562,852,-3222,-15086
-1537,2404,547,1482,-1959,-14062
-1523,2524,414,1288,-2554,-13849
-1523,2524,414,1212,-5272,-13139
-1451,2725,169,613,-7010,-13145
-1421,2879,-81,547,-7592,-14595
-1421,2879,-81,1207,-6870,-12516
-1441,2968,-264,1561,-7154,-11809
-1432,3037,-472,1472,-8437,-11028
-1432,3037,-472,1210,-10514,-10852
-1397,3107,-694,1084,-11361,-10740
-1403,3132,-934,1505,-11541,-9738
-1403,3132,-934,1235,-11380,-9118
-1409,3147,-1032,1115,-12076,-9027
-1411,3147,-1142,1228,-11943,-8768
-1411,3147,-1142,1029,-12694,-8407
-1395,3142,-1213,913,-12756,-8303
-1375,3131,-1336,1113,-13343,-7687
-1375,3131,-1336,1141,-13268,-7627
-1392,3145,-1348,1168,-13287,-7843
-1409,3143,-1248,1185,-13042,-7929
-1409,3143,-1248,1192,-12560,-8416
-1423,3145,-1140,1234,-12511,-9521
-1454,3126,-923,1564,-11257,-9988
-1454,3126,-923,1548,-9108,-10254
-1481,3080,-655,1242,-9915,-11981
-1481,3000,-402,1319,-9392,-12106
-1481,3000,-402,1458,-7095,-12158
-1535,2878,-106,1724,-6057,-13312
-1551,2709,156,1810,-4342,-13864
-1551,2709,156,1616,-3983,-13234
-1535,2572,350,1009,-4633,-13936
-1544,2404,529,989,-2437,-15158
-1544,2404,529,1502,-786,-14669
-1556,2217,702,1395,-158,-14376
-1561,2074,810,1232,291,-14523
-1561,2074,810,1125,790,-14493
-1551,1974,828,559,2179,-15574
-1544,1894,941,414,3461,-15827
-1544,1894,941,796,775,-15338
-1578,1840,958,658,3367,-13069
-1575,1830,959,914,1498,-15331
-1575,1830,959,1342,2725,-14816
-1581,1845,958,1602,1705,-14491
-1590,1848,949,1625,2417,-14427
-1590,1848,949,2484,1938,-13736
-1612,1830,964,785,4659,-14739
-1609,1798,979,1788,2293,-15037
-1609,1798,979,1457,1931,-15056
-1641,1718,1025,877,2746,-13181
-1696,1528,1106,1186,4476,-13296
-1696,1528,1106,1427,3794,-13743
-1695,1308,1187,662,6027,-13413
-1673,1013,1268,-244,8754,-12084
-1673,1013,1268,-625,8433,-12939
-1661,784,1315,-315,8332,-12168
-1645,637,1328,-27,7404,-12450
-1645,637,1328,869,9144,-11933
-1626,507,1338,581,9592,-11925
-1605,409,1335,266,10240,-11139
-1605,409,1335,599,10175,-11590
-1614,348,1336,293,9801,-11322
-1605,340,1347,346,9990,-11201
-1605,340,1347,353,10083,-11297
-1586,381,1349,-13,9758,-11711
-1594,517,1341,395,9735,-11629
-1594,517,1341,722,8285,-12127
-1619,732,1322,599,7845,-12747
-1629,989,1291,1242,6930,-12952
-1629,989,1291,1384,6760,-13666
-1617,1277,1219,1426,4074,-13109
-1582,1586,1094,786,1820,-13105
-1582,1586,1094,481,1971,-15764
-1562,1838,964,1459,1847,-14920
-1547,2067,805,1794,16,-14659
-1547,2067,805,1543,-1480,-15383
-1534,2262,644,1291,-1193,-15056
-1534,2313,602,1725,-2260,-14258
-1534,2313,602,1214,-1343,-15335
-1579,2261,652,1758,-982,-13851
-1541,2192,704,1297,985,-13383
-1541,2192,704,704,-1683,-15942
-1456,2146,780,358,170,-15323
-1461,2113,797,1485,67,-14817
-1461,2113,797,1722,146,-14427
-1490,2123,781,1800,-774,-14959
-1494,2187,734,1612,-871,-14472
-1519,2232,700,1558,-461,-13978
-1519,2232,700,1372,-1511,-14147
-1498,2250,681,1404,-1673,-14516
-1512,2244,682,1508,-816,-15304
-1512,2244,682,2525,-127,-14273
-1542,2221,708,2940,-631,-14356
-1532,2162,755,1870,-326,-15367
-1532,2162,755,1571,-410,-15696
-1544,2067,821,2013,2785,-13731
-1540,1993,874,1850,1010,-14603
-1540,1993,874,1078,-226,-15950
-1538,1972,900,1868,1162,-13490
-1541,2025,855,2347,320,-14577
-1541,2025,855,1858,-239,-14862
-1534,2080,816,1903,177,-15275
-1539,2143,774,1833,1018,-13853
-1539,2143,774,2721,-593,-14080
-1518,2204,703,2080,-974,-14836
-1486,2247,709,2085,-1414,-15057
-1486,2247,709,2428,-625,-14780
-1479,2175,757,1909,-148,-14201
-1474,2080,820,2558,580,-14057
-1474,2080,820,2979,1248,-13884
-1461,2058,850,3727,1108,-14511
-1447,2118,791,2614,835,-14806
-1447,2118,791,2078,633,-15173
